timestep,reward,A0,A1,A2,Psi0,Psi1,Psi2
0,0.0000,0.004314,-0.002026,0.022597,0.000000,0.000000,0.000000
1,0.0000,-0.002643,-0.016066,0.023992,0.000863,-0.000405,0.004519
2,0.0000,0.003523,-0.022167,0.035358,0.000162,-0.003537,0.008414
3,0.0000,-0.004526,-0.009054,0.057423,0.000834,-0.007263,0.013803
4,0.0000,0.002034,-0.021897,0.075670,-0.000238,-0.007621,0.022527
5,0.0000,-0.022625,-0.011240,0.094797,0.000217,-0.010477,0.033155
6,0.0000,-0.017683,-0.017142,0.141839,-0.004352,-0.010629,0.045484
7,0.0000,-0.009001,-0.046019,0.199527,-0.007018,-0.011932,0.064755
8,0.0000,-0.010418,-0.071400,0.303630,-0.007415,-0.018749,0.091709
9,0.0000,-0.013823,-0.106121,0.428284,-0.008015,-0.029279,0.134093
10,0.0000,-0.006410,-0.151555,0.563713,-0.009177,-0.044648,0.192931
11,0.0000,-0.021616,-0.213862,0.675424,-0.008623,-0.066029,0.267088
12,0.0000,-0.012694,-0.290161,0.773394,-0.011222,-0.095596,0.348755
13,0.0000,-0.017359,-0.387516,0.833712,-0.011516,-0.134509,0.433683
14,0.0000,-0.034510,-0.502013,0.873785,-0.012685,-0.185110,0.513689
15,0.0000,-0.072776,-0.622082,0.898759,-0.017050,-0.248491,0.585708
16,0.0000,-0.110166,-0.736040,0.914591,-0.028195,-0.323209,0.648318
17,0.0000,-0.131326,-0.814049,0.921177,-0.044589,-0.405775,0.701573
18,0.0000,-0.213967,-0.856179,0.933973,-0.061937,-0.487430,0.745494
19,0.0000,-0.298906,-0.891779,0.936859,-0.092343,-0.561180,0.783190
20,0.0000,-0.388501,-0.904236,0.940132,-0.133655,-0.627300,0.813923
21,0.0000,-0.506660,-0.918666,0.946787,-0.184624,-0.682687,0.839165
22,0.0000,-0.637262,-0.929072,0.947231,-0.249032,-0.729883,0.860689
23,0.0000,-0.748637,-0.937974,0.948406,-0.326678,-0.769721,0.877998
24,0.0000,-0.818853,-0.937630,0.951263,-0.411070,-0.803371,0.892079
25,0.0000,-0.864351,-0.942263,0.951603,-0.492626,-0.830223,0.903916
26,0.0000,-0.890369,-0.947283,0.955069,-0.566971,-0.852631,0.913454
27,0.0000,-0.908688,-0.949612,0.954098,-0.631651,-0.871562,0.921777
28,0.0000,-0.922509,-0.949299,0.952801,-0.687058,-0.887172,0.928241
29,0.0000,-0.930620,-0.949275,0.954172,-0.734148,-0.899597,0.933153
30,0.0000,-0.936350,-0.951435,0.955645,-0.773443,-0.909533,0.937357
31,0.0000,-0.938749,-0.951963,0.955953,-0.806024,-0.917913,0.941014
32,0.0000,-0.942054,-0.956001,0.954077,-0.832569,-0.924723,0.944002
33,0.0000,-0.944919,-0.955658,0.957811,-0.854466,-0.930979,0.946017
34,0.0000,-0.947680,-0.954179,0.956989,-0.872557,-0.935915,0.948376
35,0.0000,-0.952135,-0.957697,0.957730,-0.887581,-0.939567,0.950098
36,0.0000,-0.950706,-0.955045,0.957140,-0.900492,-0.943193,0.951625
37,0.0000,-0.951500,-0.954881,0.955198,-0.910821,-0.946094,0.952846
38,0.0000,-0.953298,-0.956126,0.954954,-0.919083,-0.948415,0.953823
39,0.0000,-0.954700,-0.956678,0.958304,-0.925694,-0.950271,0.954604
40,0.0000,-0.954539,-0.955607,0.957679,-0.931495,-0.951553,0.955344
41,0.0000,-0.956784,-0.957178,0.958796,-0.936136,-0.952578,0.955936
42,0.0000,-0.957075,-0.957574,0.955769,-0.940266,-0.953498,0.956508
43,0.0000,-0.956614,-0.955971,0.958513,-0.943570,-0.954234,0.956966
44,0.0000,-0.956091,-0.957914,0.956904,-0.946213,-0.954822,0.957332
45,0.0000,-0.958069,-0.957769,0.957820,-0.948327,-0.955294,0.957625
46,0.0000,-0.954823,-0.956923,0.955868,-0.950275,-0.955789,0.957664
47,0.0000,-0.958322,-0.955611,0.958064,-0.951834,-0.956185,0.957695
48,0.0000,-0.956279,-0.958362,0.956089,-0.953081,-0.956501,0.957720
49,0.0000,-0.956373,-0.955414,0.958507,-0.954078,-0.956755,0.957740
